Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
68,CB 68,477.112500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,,,,,
69,CB 69,477.137500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,,,,,
70,CB 70,477.162500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,,,,,
71,CB 71,477.187500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,,,,,
72,CB 72,477.212500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,,,,,
73,CB 73,477.237500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,,,,,
74,CB 74,477.262500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,,,,,
75,CB 75,477.287500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,,,,,
76,CB 76,477.312500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,,,,,
77,CB 77,477.337500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,,,,,
78,CB 78,477.362500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,,,,,
79,CB 79,477.387500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,,,,,
80,CB 80,477.412500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,,,,,,
