Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
18,CB 18,476.850000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,High,,,,,
19,CB 19,476.875000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,High,,,,,
20,CB 20,476.900000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,High,,,,,
21,CB 21,476.925000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,High,,,,,
22,CB 22,476.950000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,25.00,S,High,,,,,
23,CB 23,476.975000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,25.00,S,High,,,,,
24,CB 24,477.000000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,High,,,,,
25,CB 25,477.025000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,High,,,,,
26,CB 26,477.050000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,High,,,,,
27,CB 27,477.075000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,High,,,,,
28,CB 28,477.100000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,High,,,,,
29,CB 29,477.125000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,High,,,,,
30,CB 30,477.150000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,High,,,,,
31,CB 31,477.175000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,High,,,,,
32,CB 32,477.200000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,High,,,,,
33,CB 33,477.225000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,High,,,,,
34,CB 34,477.250000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,High,,,,,
35,CB 35,477.275000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,High,,,,,
36,CB 36,477.300000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,High,,,,,
37,CB 37,477.325000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,High,,,,,
38,CB 38,477.350000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,High,,,,,
39,CB 39,477.375000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,High,,,,,
40,CB 40,477.400000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,High,,,,,
41,CB 41R,476.437500,+,0.750000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,High,,,,,
42,CB 42R,476.462500,+,0.750000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,High,,,,,
43,CB 43R,476.487500,+,0.750000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,High,,,,,
44,CB 44R,476.512500,+,0.750000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,High,,,,,
45,CB 45R,476.537500,+,0.750000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,High,,,,,
46,CB 46R,476.562500,+,0.750000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,High,,,,,
47,CB 47R,476.587500,+,0.750000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,High,,,,,
48,CB 48R,476.612500,+,0.750000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,High,,,,,
49,CB 49,476.637500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,High,,,,,
50,CB 50,476.662500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,High,,,,,
51,CB 51,476.687500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,High,,,,,
52,CB 52,476.712500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,High,,,,,
53,CB 53,476.737500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,High,,,,,
54,CB 54,476.762500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,High,,,,,
55,CB 55,476.787500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,High,,,,,
56,CB 56,476.812500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,High,,,,,
57,CB 57,476.837500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,High,,,,,
58,CB 58,476.862500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,High,,,,,
59,CB 59,476.887500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,High,,,,,
60,CB 60,476.912500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,High,,,,,
61,CB 61,476.937500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,High,,,,,
62,CB 62,476.962500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,High,,,,,
63,CB 63,476.987500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,High,,,,,
64,CB 64,477.012500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,High,,,,,
65,CB 65,477.037500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,High,,,,,
66,CB 66,477.062500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,High,,,,,
67,CB 67,477.087500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,High,,,,,
68,CB 68,477.112500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,High,,,,,
69,CB 69,477.137500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,High,,,,,
70,CB 70,477.162500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,High,,,,,
71,CB 71,477.187500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,High,,,,,
72,CB 72,477.212500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,High,,,,,
73,CB 73,477.237500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,High,,,,,
74,CB 74,477.262500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,High,,,,,
75,CB 75,477.287500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,High,,,,,
76,CB 76,477.312500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,High,,,,,
77,CB 77,477.337500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,High,,,,,
78,CB 78,477.362500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,High,,,,,
79,CB 79,477.387500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,High,,,,,
80,CB 80,477.412500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,High,,,,,
